Fixed Income,US Equity,Foreign Equity,REITs,Emerging Market Equity,Commodity,Other
,,,,,,
Emerging Markets Bond,BALANCE FUND,Developed Countries,Global Real Estate,China Equity,COMMODITIES,Alternative
FIXED INCOME,Conservative Allocation,Europe Large-Cap Blend Equity,Non-US Real Estate,DIVERSIFIED EMERGING MKTS,COMMODITIES BROAD BASKET,Bank Loan
Foreign Corporate Bonds,EQUITY,EUROPE STOCK,REAL ESTATE,DIVERSIFIED PACIFIC/ASIA,Commodities Precious Metals,Bear Market
Foreign Goverment Bonds,LARGE BLEND,Foreign Large Blend,US Real Estate,Emerging Market,Commodities Industrial Metals,Capital Protected
Foreign High Yield Bonds,LARGE GROWTH,Foreign Large Cap,,Latin America Stock,Commodities Energy,CASH
High Yield Bond,LARGE VALUE,Foreign Large Growth,,Pacific/Asia Equity,Commodities Miscellaneous,CASH ASSET
High Yield Muni,Micro Cap,Foreign Large Value,,PACIFIC/ASIA EX-JAPAN STK,Commodities Agriculture,CD
Inflation-Protected Bond,MID-CAP BLEND,Foreign Small Cap,,China Region,,Communications
Intermediate Government,Mid-Cap Growth,Foreign Small Value,,,,Consumer Discretionary
Intermediate-Term Bond,MID-CAP VALUE,Foreign Small/Mid Cap,,,,Consumer Staples
INTERNATIONAL BONDS,Moderate Allocation,FOREIGN SMALL/MID GROWTH,,,,CONVERTIBLE SECURITIES
INVESTMENT GRADE,Retirement Income,Foreign Small/Mid Value,,,,Convertibles
LONG GOVERNMENT,SMALL BLEND,Greece Equity,,,,Currency
Long-Term Bond,Small Growth,INTERNATIONAL EQUITY,,,,Energy
Multisector Bond,SMALL VALUE,JAPAN STOCK,,,,Equity Energy
Muni California Interm/Short,Target Date 2000-2010,WORLD STOCK,,,,EQUITY PRECIOUS METALS
Muni California Long,Target Date 2011-2015,,,,,Financial
Muni Massachusetts,Target Date 2016-2020,,,,,Health
Muni Minnesota,Target Date 2021-2025,,,,,HEDGES
Muni National Interm,Target Date 2026-2030,,,,,HYBRID ASSETS
Muni National Long,Target Date 2031-2035,,,,,Industrials
Muni National Short,Target Date 2036-2040,,,,,Long-Short
Muni New Jersey,Target Date 2041-2045,,,,,Market Neutral
Muni New York Interm/Short,Target Date 2050+,,,,,Miscellaneous
Muni New York Long,US EQUITY,,,,,MISCELLANEOUS SECTOR
Muni Ohio,US Equity Moderate Allocation,,,,,Money Market
Muni Pennsylvania,US Large Cap,,,,,Natural Resources
Muni Single State Interm,US Mid Cap,,,,,Precious Metals
Muni Single State Long,US Small Cap,,,,,PREFERRED SECURITIES
Muni Single State Short,World Allocation,,,,,ROOT
SHORT GOVERNMENT,Aggressive Allocation,,,,,rt
Short-Term Bond,,,,,,SECTOR EQUITY
ULTRASHORT BOND,,,,,,SPECIALTY-COMMUNICATIONS
US CORPORATE BONDS,,,,,,SPECIALTY-FINANCIAL
US MUNICIPAL BONDS,,,,,,SPECIALTY-HEALTH
US TREASURY BONDS,,,,,,SPECIALTY-NATURAL RES
WORLD BOND,,,,,,SPECIALTY-PRECIOUS METALS
Muni Short,,,,,,SPECIALTY-REAL ESTATE
Muni California Intermediate,,,,,,SPECIALTY-TECHNOLOGY
Muni New York Intermediate,,,,,,SPECIALTY-UTILITIES
,,,,,,Technology
,,,,,,"ull,"
,,,,,,Utilities
,,,,,,Miscellaneous ¨C Income and Real Property
,,,,,,indowFeatures){                 if (windowName == 
,,,,,,PE HTML PUBLIC 
